Nday,NCalDate,NDayName,NDate,NMonth,NYear,Ignore
1,7/1/2016,Friday,1,7,2016,
2,8/12/2016,Friday,12,8,2016,
3,8/13/2016,Saturday,13,8,2016,Y
4,8/14/2016,Sunday,14,8,2016,Y
5,8/15/2016,Monday,15,8,2016,Y
6,8/16/2016,Tuesday,16,8,2016,
7,8/17/2016,Wednesday,17,8,2016,
8,8/18/2016,Thursday,18,8,2016,
9,8/19/2016,Friday,19,8,2016,
10,8/20/2016,Saturday,20,8,2016,Y
11,8/21/2016,Sunday,21,8,2016,Y
12,8/22/2016,Monday,22,8,2016,
13,8/23/2016,Tuesday,23,8,2016,
14,8/24/2016,Wednesday,24,8,2016,
15,8/25/2016,Thursday,25,8,2016,
16,8/26/2016,Friday,26,8,2016,
17,8/27/2016,Saturday,27,8,2016,Y
18,8/28/2016,Sunday,28,8,2016,Y
19,8/29/2016,Monday,29,8,2016,
20,8/30/2016,Tuesday,30,8,2016,
21,8/31/2016,Wednesday,31,8,2016,
22,9/1/2016,Thursday,1,9,2016,
23,9/2/2016,Friday,2,9,2016,
24,9/3/2016,Saturday,3,9,2016,Y
25,9/4/2016,Sunday,4,9,2016,Y
26,9/5/2016,Monday,5,9,2016,Y
27,9/6/2016,Tuesday,6,9,2016,
28,9/7/2016,Wednesday,7,9,2016,
29,9/8/2016,Thursday,8,9,2016,
30,9/9/2016,Friday,9,9,2016,
31,9/10/2016,Saturday,10,9,2016,Y
32,9/11/2016,Sunday,11,9,2016,Y
33,9/12/2016,Monday,12,9,2016,
34,9/13/2016,Tuesday,13,9,2016,Y
35,9/14/2016,Wednesday,14,9,2016,
36,9/15/2016,Thursday,15,9,2016,
37,9/16/2016,Friday,16,9,2016,
38,9/17/2016,Saturday,17,9,2016,Y
39,9/18/2016,Sunday,18,9,2016,Y
40,9/19/2016,Monday,19,9,2016,
41,9/20/2016,Tuesday,20,9,2016,
42,9/21/2016,Wednesday,21,9,2016,
43,9/22/2016,Thursday,22,9,2016,
44,9/23/2016,Friday,23,9,2016,
45,9/24/2016,Saturday,24,9,2016,Y
46,9/25/2016,Sunday,25,9,2016,Y
47,9/26/2016,Monday,26,9,2016,
48,9/27/2016,Tuesday,27,9,2016,
49,9/28/2016,Wednesday,28,9,2016,
50,9/29/2016,Thursday,29,9,2016,
51,9/30/2016,Friday,30,9,2016,
52,10/1/2016,Saturday,1,10,2016,Y
53,10/2/2016,Sunday,2,10,2016,Y
54,10/3/2016,Monday,3,10,2016,
55,10/4/2016,Tuesday,4,10,2016,
56,10/5/2016,Wednesday,5,10,2016,
57,10/6/2016,Thursday,6,10,2016,
58,10/7/2016,Friday,7,10,2016,
59,10/8/2016,Saturday,8,10,2016,Y
60,10/9/2016,Sunday,9,10,2016,Y
61,10/10/2016,Monday,10,10,2016,
62,10/11/2016,Tuesday,11,10,2016,Y
63,10/12/2016,Wednesday,12,10,2016,Y
64,10/13/2016,Thursday,13,10,2016,
65,10/14/2016,Friday,14,10,2016,
66,10/15/2016,Saturday,15,10,2016,Y
67,10/16/2016,Sunday,16,10,2016,Y
68,10/17/2016,Monday,17,10,2016,
69,10/18/2016,Tuesday,18,10,2016,
70,10/19/2016,Wednesday,19,10,2016,
71,10/20/2016,Thursday,20,10,2016,
72,10/21/2016,Friday,21,10,2016,
73,10/22/2016,Saturday,22,10,2016,Y
74,10/23/2016,Sunday,23,10,2016,Y
75,10/24/2016,Monday,24,10,2016,
76,10/25/2016,Tuesday,25,10,2016,
77,10/26/2016,Wednesday,26,10,2016,
78,10/27/2016,Thursday,27,10,2016,
79,10/28/2016,Friday,28,10,2016,
80,10/29/2016,Saturday,29,10,2016,Y
81,10/30/2016,Sunday,30,10,2016,
82,10/31/2016,Monday,31,10,2016,Y
83,11/1/2016,Tuesday,1,11,2016,
84,11/2/2016,Wednesday,2,11,2016,
85,11/3/2016,Thursday,3,11,2016,
86,11/4/2016,Friday,4,11,2016,
87,11/5/2016,Saturday,5,11,2016,Y
88,11/6/2016,Sunday,6,11,2016,Y
89,11/7/2016,Monday,7,11,2016,
90,11/8/2016,Tuesday,8,11,2016,
91,11/9/2016,Wednesday,9,11,2016,
92,11/10/2016,Thursday,10,11,2016,
93,11/11/2016,Friday,11,11,2016,
94,11/12/2016,Saturday,12,11,2016,Y
95,11/13/2016,Sunday,13,11,2016,Y
96,11/14/2016,Monday,14,11,2016,Y
97,11/15/2016,Tuesday,15,11,2016,
98,11/16/2016,Wednesday,16,11,2016,
99,11/17/2016,Thursday,17,11,2016,
100,11/18/2016,Friday,18,11,2016,
101,11/19/2016,Saturday,19,11,2016,Y
102,11/20/2016,Sunday,20,11,2016,Y
103,11/21/2016,Monday,21,11,2016,
104,11/22/2016,Tuesday,22,11,2016,
105,11/23/2016,Wednesday,23,11,2016,
106,11/24/2016,Thursday,24,11,2016,
107,11/25/2016,Friday,25,11,2016,
108,11/26/2016,Saturday,26,11,2016,Y
109,11/27/2016,Sunday,27,11,2016,Y
110,11/28/2016,Monday,28,11,2016,
111,11/29/2016,Tuesday,29,11,2016,
112,11/30/2016,Wednesday,30,11,2016,
113,12/1/2016,Thursday,1,12,2016,
114,12/2/2016,Friday,2,12,2016,
115,12/3/2016,Saturday,3,12,2016,Y
116,12/4/2016,Sunday,4,12,2016,Y
117,12/5/2016,Monday,5,12,2016,
118,12/6/2016,Tuesday,6,12,2016,
119,12/7/2016,Wednesday,7,12,2016,
120,12/8/2016,Thursday,8,12,2016,
121,12/9/2016,Friday,9,12,2016,
122,12/10/2016,Saturday,10,12,2016,Y
123,12/11/2016,Sunday,11,12,2016,Y
124,12/12/2016,Monday,12,12,2016,
125,12/13/2016,Tuesday,13,12,2016,
126,12/14/2016,Wednesday,14,12,2016,
127,12/15/2016,Thursday,15,12,2016,
128,12/16/2016,Friday,16,12,2016,
129,12/17/2016,Saturday,17,12,2016,Y
130,12/18/2016,Sunday,18,12,2016,Y
131,12/19/2016,Monday,19,12,2016,
132,12/20/2016,Tuesday,20,12,2016,
133,12/21/2016,Wednesday,21,12,2016,
134,12/22/2016,Thursday,22,12,2016,
135,12/23/2016,Friday,23,12,2016,
136,12/24/2016,Saturday,24,12,2016,Y
137,12/25/2016,Sunday,25,12,2016,Y
138,12/26/2016,Monday,26,12,2016,
139,12/27/2016,Tuesday,27,12,2016,
140,12/28/2016,Wednesday,28,12,2016,
141,12/29/2016,Thursday,29,12,2016,
142,12/30/2016,Friday,30,12,2016,
143,12/31/2016,Saturday,31,12,2016,Y
