SYMBOL,SECURITY,HI_52_WK,LO_52_WK
ACC,ACC LIMITED,1736.4,1174
ADANIPORTS,ADANI PORT & SEZ LTD,324.7,169.15
AMBUJACEM,AMBUJA CEMENTS LTD,281.7,185
ASIANPAINT,ASIAN PAINTS LIMITED,1227.3,784.25
AUROPHARMA,AUROBINDO PHARMA LTD,895,582
AXISBANK,AXIS BANK LIMITED,638.3,366.75
BAJAJ-AUTO,BAJAJ AUTO LIMITED,3120,2171.95
BANKBARODA,BANK OF BARODA,182.5,109.35
BHARTIARTL,BHARTI AIRTEL LIMITED,385,282.3
BHEL,BHEL,219.7,90.15
BOSCHLTD,BOSCH LIMITED,25670.85,15736.05
BPCL,BHARAT PETROLEUM CORP  LT,1156,543.6
CIPLA,CIPLA LTD,704.9,457.45
COALINDIA,COAL INDIA LTD,349.95,271.65
DRREDDY,DR. REDDY'S LABORATORIES,4386.6,2750.05
EICHERMOT,EICHER MOTORS LTD,26641.3,14800
GAIL,GAIL (INDIA) LTD,448.95,276.15
GRASIM,GRASIM INDUSTRIES LTD,5361.05,967.15
HCLTECH,HCL TECHNOLOGIES LTD,889.9,706.4
HDFC,HDFC LTD,1464,1011.45
HDFCBANK,HDFC BANK LTD,1318.45,928
HEROMOTOCO,HERO MOTOCORP LIMITED,3740,2377.15
HINDALCO,HINDALCO  INDUSTRIES  LTD,164.7,58.8
HINDUNILVR,HINDUSTAN UNILEVER LTD.,954,766.4
ICICIBANK,ICICI BANK LTD.,289.9,180.75
IDEA,IDEA CELLULAR LIMITED,153.5,71.1
INDUSINDBK,INDUSIND BANK LIMITED,1256.05,799
INFRATEL,BHARTI INFRATEL LTD.,436.5,301.5
INFY,INFOSYS LIMITED,1279.3,996.25
ITC,ITC LTD,371.7,235.65
KOTAKBANK,KOTAK MAHINDRA BANK LTD,825.4,585.75
LT,LARSEN & TOUBRO LTD.,1615,1016.05
LUPIN,LUPIN LIMITED,2104,1280
M&M,MAHINDRA & MAHINDRA LTD,1508.95,1091.25
MARUTI,MARUTI SUZUKI INDIA LTD.,5767,3193.25
NTPC,NTPC LTD,170,116.9
ONGC,OIL AND NATURAL GAS CORP.,283.15,187.75
POWERGRID,POWER GRID CORP. LTD.,187.7,126.2
RELIANCE,RELIANCE INDUSTRIES LTD,1129.55,888.1
SBIN,STATE BANK OF INDIA,271.6,148.25
SUNPHARMA,SUN PHARMACEUTICALS IND.,913.1,704
TATAMOTORS,TATA MOTORS LIMITED,598.4,265.8
TATAMTRDVR,TATA MOTORS DVR 'A' ORD,378.15,210.1
TATAPOWER,TATA POWER CO LTD,84,55
TATASTEEL,TATA STEEL LIMITED,431.9,211.15
TCS,TATA CONSULTANCY SERV LT,2744.8,2115
TECHM,TECH MAHINDRA LIMITED,568.5,405.5
ULTRACEMCO,ULTRATECH CEMENT LIMITED,4129.7,2579
WIPRO,WIPRO LTD,607,470
YESBANK,YES BANK LIMITED,1449,631.55
ZEEL,ZEE ENTERTAINMENT ENT LTD,589.9,350.1
ABB,ABB INDIA LIMITED,1434,955.2
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,1544.9,1213
ASHOKLEY,ASHOK LEYLAND LTD,112.9,75.05
BAJAJFINSV,BAJAJ FINSERV LTD.,3445,1551.25
BAJFINANCE,BAJAJ FINANCE LIMITED,11770,1011.2
BEL,BHARAT ELECTRONICS LTD,1416.85,1008
BHARATFORG,BHARAT FORGE LTD,978,682
BRITANNIA,BRITANNIA INDUSTRIES LTD,3584.25,2505.05
CADILAHC,CADILA HEALTHCARE LIMITED,453.3,295
CAIRN,CAIRN INDIA LIMITED,236.6,106.5
CASTROLIND,CASTROL INDIA LIMITED,495.3,360.85
COLPAL,COLGATE PALMOLIVE LTD.,1033,787.2
CONCOR,CONTAINER CORP OF IND LTD,1540,1051
CUMMINSIND,CUMMINS INDIA LTD,1109.1,746.15
DABUR,DABUR INDIA LTD,320,231.5
DIVISLAB,DIVI'S LABORATORIES LTD,1381.6,917.8
DLF,DLF LIMITED,169.6,72.35
EMAMILTD,EMAMI LIMITED,1248,901
GLAXO,GLAXOSMITHKLINE PHARMA LT,3872,2752
GLENMARK,GLENMARK PHARMACEUTICALS,1047.95,671.1
GODREJCP,GODREJ CONSUMER PRODUCTS,1715,1118.8
GSKCONS,GLAXOSMITHKLINE CONSUMER,6800,5405
HINDPETRO,HINDUSTAN PETROLEUM CORP,1328,389.5
HINDZINC,HINDUSTAN ZINC LIMITED,262.5,135.8
IBULHSGFIN,INDIABULLS HSG FIN LTD,891,551.1
INDIGO,INTERGLOBE AVIATION LTD,1394.85,698.35
IOC,INDIAN OIL CORP LTD,666.6,317.4
JSWSTEEL,JSW STEEL LIMITED,1885.95,856.1
LICHSGFIN,LIC HOUSING FINANCE LTD,624.25,388.65
MARICO,MARICO LIMITED,468.6,207.3
MCDOWELL-N,UNITED SPIRITS LIMITED,3644.25,2118
MOTHERSUMI,MOTHERSON SUMI SYSTEMS LT,358.65,205.9
NHPC,NHPC LTD,28.3,17.15
NMDC,NMDC LTD.,126.45,75.15
OFSS,ORACLE FIN SERV SOFT LTD.,4070,3100
OIL,OIL INDIA LTD,449,300.35
PEL,PIRAMAL ENTERPRISES LTD,2097,832.25
PFC,POWER FIN CORP LTD.,256.75,112.2
PGHH,P&G HYGIENE & HEALTH CARE,7252,5178.65
PIDILITIND,PIDILITE INDUSTRIES LTD,769.3,520.3
PNB,PUNJAB NATIONAL BANK,150.55,69.25
SAIL,STEEL AUTHORITY OF INDIA,56.9,33.5
SHREECEM,SHREE CEMENTS LTD,18490,9399.95
SIEMENS,SIEMENS LTD,1396.4,968.6
SRTRANSFIN,SHRIRAM TRANSPORT FIN CO.,1324.4,736.95
TITAN,TITAN COMPANY LIMITED,444.5,301.7
TORNTPHARM,TORRENT PHARMACEUTICALS L,1769.5,1189
UBL,UNITED BREWERIES LTD,1014.95,690
UPL,UPL LIMITED,722.2,367.25
VEDL,VEDANTA LIMITED,208.55,58.15
 , , , 
 ,COMPULSORY ROLLING STOCKS, , 
20MICRONS,20 MICRONS LTD,45,25
3IINFOTECH,3I INFOTECH LTD.,7.1,3.55
3MINDIA,3M INDIA LIMITED,15250,9463.4
8KMILES,8K MILES SOFT SERV LTD,2550,754
A2ZINFRA,A2Z INFRA ENGINEERING LTD,46.1,16.5
AARTIDRUGS,AARTI DRUGS LTD.,686.45,431.6
AARTIIND,AARTI INDUSTRIES LTD,759.9,418.2
AARVEEDEN,AARVEE DEN. & EXP. LTD,106.4,45.85
ABAN,ABAN OFFSHORE LTD.,281.8,142.55
ABBOTINDIA,ABBOTT INDIA LIMITED,6042,4353.7
ABFRL,ADITYA BIRLA FASHION & RT,263.45,122.9
ABGSHIP,ABG SHIPYARD LTD,136.25,22.85
ABIRLANUVO,ADITYA BIRLA NUVO LIMITED,2366.25,684.3
ACCELYA,ACCELYA KALE SOLUTION LTD,1478,777.7
ACE,ACTION CONST EQUIP LTD,50.9,32.05
ADANIENT,ADANI ENTERPRISES LIMITED,98.2,58.2
ADANIPOWER,ADANI POWER LTD,36.1,22.45
ADANITRANS,ADANI TRANSMISSION LTD,45.15,26.3
ADFFOODS,ADF FOODS LIMITED,141.7,62.5
ADHUNIK,ADHUNIK METALIKS LTD.,18.75,5.7
ADHUNIKIND,ADHUNIK INDUSTRIES LTD,193.95,85.1
ADI,ADI FINECHEM LIMITED,510,170.1
